Sensor,Volcan,Timestamp_Imagen,Estado,Snapshot,Minuto_Captura
VIIRS,Lascar,2026-01-19 05:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-19 05:30:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-18 18:18:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-18 06:12:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-18 05:48:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-17 19:00:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-17 18:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-17 17:18:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lascar,2026-01-17 06:30:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-19 05:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-18 04:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-17 18:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-17 06:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,ChillanNevadosde,2026-01-17 06:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-19 05:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-18 19:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-18 06:18:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-18 04:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-17 18:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Villarrica,2026-01-17 18:30:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-19 05:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-18 19:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-18 04:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-17 18:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-17 18:30:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Copahue,2026-01-17 06:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-19 05:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-19 05:30:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-18 18:18:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-18 06:12:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-18 05:48:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-17 18:54:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-17 18:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-17 17:18:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,Lastarria,2026-01-17 06:30:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-19 05:36:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 19:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 18:36:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 18:12:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 06:18:01,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 05:54:00,NO_EN_BLACKBOX,N/A,N/A
VIIRS,PuyehueCordonCaulle,2026-01-18 04:36:01,NO_EN_BLACKBOX,N/A,N/A
